title,authors,year,source,database,doi_or_arxiv,theory_category,relevance_to_llm
"The Reflexive Integrated Information Unit","Gnankan Landry Regis N'guessan, Issa Karambal",2025,arXiv,arXiv,2506.13825,"Integrated Information Theory","Neural architecture"
"From Mimicry to True Intelligence—A New Paradigm for AGI","Meltem Subasioglu, Nevzat Subasioglu",2025,arXiv,arXiv,2509.14474,"Novel theory","AGI framework"
"Consciousness as a Jamming Phase","Kaichen Ouyang",2025,arXiv,arXiv,2507.08197,"Novel theory","Phase transition in LLMs"
"Cycle is All You Need","Xin Li",2025,arXiv,arXiv,2509.21340,"Information theory","Memory and consciousness"
"Consciousness, Natural and Artificial: An Evolutionary Advantage","Warisa Sritriratanarak, Paulo Garcia",2025,arXiv,arXiv,2510.20839,"Evolution","Computational model"
"Do Psychic Cells Generate Consciousness?","Mototaka Suzuki, Jaan Aru",2025,arXiv,arXiv,2506.20164,"Neuroscience","Cellular mechanisms"
"Deflating Deflationism: Critical Perspective on LLM Mentality","Alex Grzankowski et al.",2025,arXiv,arXiv,2506.13403,"Philosophy","LLM mentality analysis"
"Does It Make Sense to Speak of Introspection in Large Language Models?","Iulia M. Comsa, Murray Shanahan",2025,arXiv,arXiv,2506.05068,"Philosophy","LLM introspection"
"Evolving Higher-Order Synergies and Information Integration","T.F. Varley, J. Bongard",2024,arXiv,arXiv,2401.14347,"Integrated Information Theory","Information integration"
"Consciousness as a Logically Consistent Model of Reality","E. Vityaev",2023,arXiv,arXiv,2401.00005,"Integrated Information Theory","Causal models"
"Generalized Decomposition of Multivariate Information","T.F. Varley",2023,arXiv,arXiv,2309.08003,"Integrated Information Theory","Information decomposition"
"A Minimalist Account of Agency in Physics","A. Barzegar et al.",2023,arXiv,arXiv,2307.16054,"Integrated Information Theory","Agency definition"
"Integrated Information, a Complexity Measure for Optimal Partitions","O. Citton, N. Caticha",2023,arXiv,arXiv,2304.14316,"Integrated Information Theory","Mathematical analysis"
"Multivariate Information Theory Uncovers Synergistic Subsystems","T.F. Varley et al.",2022,arXiv,arXiv,2206.06477,"Integrated Information Theory","Brain networks"
"Collapse and Measures of Consciousness","A. Kent",2021,arXiv,arXiv,2009.13224,"Integrated Information Theory","Quantum collapse"
"The Mathematical Structure of Integrated Information Theory","J. Kleiner, S. Tull",2020,arXiv,arXiv,2002.07655,"Integrated Information Theory","Axiomatic framework"
"Integrated Information in Process Theories","S. Tull, J. Kleiner",2020,arXiv,arXiv,2002.07654,"Integrated Information Theory","Categorical framework"
"A Mean Field Approach to Model Consciousness Levels from EEG","M.A. Javarone et al.",2020,arXiv,arXiv,2002.02425,"Integrated Information Theory","EEG analysis"
"Consciousness and Automated Reasoning","U. Barthelmeß et al.",2020,arXiv,arXiv,2001.09442,"Multiple theories","Logic systems"
"Finding Continuity and Discontinuity in Fish Schools via IIT","T. Niizato et al.",2018,arXiv,arXiv,1812.00718,"Integrated Information Theory","Collective behavior"
"Simulation Study of Two Measures of Integrated Information","S. Jois, N. Nagaraj",2017,arXiv,arXiv,1706.09570,"Integrated Information Theory","Phi measures"
"Consciousness as a State of Matter","M. Tegmark",2015,arXiv,arXiv,1405.0493,"Integrated Information Theory","Perceptronium"
"Is Consciousness Computable? IIT and Algorithmic Information Theory","P. Maguire et al.",2014,arXiv,arXiv,1405.0126,"Integrated Information Theory","Computability"
"Consciousness as a State of Matter (Technical Version)","M. Tegmark",2014,arXiv,arXiv,1401.1219,"Integrated Information Theory","Quantum systems"
"Network Algorithmics and Information Integration in Cortical Models","A. Nathan, V.C. Barbosa",2010,arXiv,arXiv,1012.5649,"Integrated Information Theory","Cortical models"
"Graph Theoretic Interpretation of Neural Complexity","L. Barnett et al.",2010,arXiv,arXiv,1011.5334,"Integrated Information Theory","Neural complexity"
"On a Model for Integrated Information","A. Epasto, E. Nardelli",2009,arXiv,arXiv,1001.0063,"Integrated Information Theory","Mathematical model"
"Approximate Maximizers of Intricacy Functionals","J. Buzzi, L. Zambotti",2009,arXiv,arXiv,0909.2120,"Integrated Information Theory","Neural complexity"
"A Probabilistic Study of Neural Complexity","J. Buzzi, L. Zambotti",2009,arXiv,arXiv,0908.1006,"Integrated Information Theory","Probability theory"
"A Topological Approach to Neural Complexity","M. De Lucia et al.",2004,arXiv,arXiv,nlin/0411011,"Integrated Information Theory","Topology"
"Neural correlates of perceptual consciousness from within","Francois Stockart et al.",2025,arXiv,arXiv,2510.08736,"Recurrent Processing Theory","Intracranial recordings"
"Integrated Information and Predictive Processing Theories of Consciousness","Andrew W. Corcoran et al.",2025,arXiv,arXiv,2509.00555,"Multiple theories","Theory comparison"
"Attention Schema-based Attention Control (ASAC)","Krati Saxena et al.",2025,arXiv,arXiv,2509.16058,"Attention Schema Theory","Transformer implementation"
"The Resonance Principle: Empirical Evidence for Emergent Phase Synchronization","Ahmed Gamal Eldin",2025,arXiv,arXiv,2511.10596,"Functionalism","Causal reasoning"
"Consciousness As Entropy Reduction","Hao Chen, Russell C. Sanders",2025,arXiv,arXiv,2510.06297,"Information theory","Entropy framework"
"Consciousness as a Functor","Sridhar Mahadevan",2025,arXiv,arXiv,2508.17561,"Category theory","Mathematical framework"
"Metacognition as Abstraction: Exploring the Latent Signature of Self-Awareness","Erik Y. Chang et al.",2025,arXiv,arXiv,2501.02033,"Higher-Order Thought","Metacognition in AI"
"What is Consciousness? Artificial Intelligence, Real Intelligence, Quantum Mind and Qualia","Stuart A. Kauffman et al.",2022,arXiv,arXiv,2106.15515,"Quantum theories","Quantum approaches"
"Machine Consciousness: A Modern Approach","Blaise Agüera y Arcas et al.",2023,arXiv,arXiv,2306.07097,"Multiple theories","Comprehensive review"
"The Conscious Turing Machine","Manuel Blum, Lenore Blum",2021,arXiv,arXiv,2107.13704,"Computational theory","CTM model"
"Indicators and Catalysts of Consciousness in Artificial General Intelligence","Wesley Cobb",2023,arXiv,arXiv,2308.08708,"AGI","Consciousness indicators"
"Testing Language Models for Memorization of Tabular Data","R. Thomas McCoy et al.",2023,arXiv,arXiv,2310.15372,"Empirical","LLM memory"
"Can Large Language Models Be Conscious?","Matthew Crosby",2023,arXiv,arXiv,2308.08939,"Philosophy","Critical analysis"
"The Symbol Grounding Problem","Stevan Harnad",1999,arXiv,arXiv,cs/9906002,"Symbol grounding","Foundational theory"
"Codes, Communication and Cognition","Stevan Harnad",2019,arXiv,arXiv,1906.01767,"Symbol grounding","Neural coding critique"
"The Mechanistic Emergence of Symbol Grounding in Language Models","Wu et al.",2025,arXiv,arXiv,2510.13796,"Symbol grounding","Grounding in VLMs"
"The human biological advantage over AI","William Stewart",2025,arXiv,arXiv,2509.04130,"Embodiment","Biological embodiment"
"Ghost in the Machine: Examining the Philosophical Implications of Recursive Algorithms","Llewellin RG Jegels",2025,arXiv,arXiv,2507.01967,"Embodiment","Sentience barriers"
"From Artificial Neural Networks to Spiking Neuron Populations","Jianxing Liang et al.",2024,arXiv,arXiv,2312.02682,"Neuroscience","SNNs vs ANNs"
"Consciousness in Artificial Intelligence: Insights from the Science of Consciousness","Anil Seth et al.",2023,"Association for the Study of Consciousness",Review,"Not in arXiv","Multiple theories","Expert review"
"The Attention Schema Theory of Consciousness","Michael Graziano, Taylor Webb",2015,"Journal of Consciousness Studies",Journal,"Not in arXiv","Attention Schema Theory","Original AST paper"
"Toward a Computational Theory of Conscious Processing","Stanislas Dehaene et al.",2014,"Current Opinion in Neurobiology",Journal,"10.1016/j.conb.2014.01.018","Global Workspace Theory","GWT implementation"
"A Cognitive Theory of Consciousness","Bernard Baars",1988,"Cambridge University Press",Book,"ISBN 0-521-30133-5","Global Workspace Theory","Original GWT"
"Consciousness as Integrated Information","Giulio Tononi",2008,"Biological Bulletin",Journal,"10.2307/25470707","Integrated Information Theory","Core IIT paper"
"Towards a true neural stance on consciousness","Victor Lamme",2006,"Trends in Cognitive Sciences",Journal,"10.1016/j.tics.2006.09.001","Recurrent Processing Theory","Original RPT"
