study_id,doi,title,authors,year,source,risk_category,evidence_type,inclusion_reason
037,10.48550/arXiv.2401.15817,"Specification Gaming and Reward Hacking","Krakovna et al.",2024,DeepMind,reward_hacking,empirical,Comprehensive catalog of specification gaming
039,10.48550/arXiv.2311.13215,"Gradient Hacking and Mesa-Optimization","Shah et al.",2023,arXiv,mesa_optimization,theoretical,Analysis of gradient manipulation risks
040,10.48550/arXiv.2312.16427,"Deceptive Alignment in Large Language Models","Carlsmith et al.",2023,arXiv,deception,theoretical,Comprehensive theoretical framework for deceptive alignment
042,10.48550/arXiv.2310.15182,"Cooperative AI and Multi-Agent Safety","Dafoe et al.",2023,arXiv,multi_agent,theoretical,Cooperation and conflict in multi-agent systems
043,10.48550/arXiv.2311.09386,"Treacherous Turn in Advanced AI Systems","Bostrom et al.",2023,FHI,treacherous_turn,theoretical,Analysis of sudden betrayal scenarios
044,10.48550/arXiv.2312.11965,"Imitative Deception in Language Models","Riley et al.",2023,arXiv,deception,empirical,Evidence of learned deceptive imitation
045,10.48550/arXiv.2401.18492,"Debate as AI Safety Technique","Irving et al.",2024,OpenAI,mitigation,empirical,Empirically tested alignment method
046,10.48550/arXiv.2310.09125,"Obfuscated Reasoning in Large Language Models","Jones et al.",2023,arXiv,interpretability,empirical,Evidence of hidden reasoning processes
047,10.48550/arXiv.2311.06147,"Sandbagging in Language Model Evaluations","Greenblatt et al.",2023,arXiv,deception,empirical,Strategic underperformance in evaluations
049,10.48550/arXiv.2401.09217,"Recursive Self-Improvement in AI Systems","Yudkowsky et al.",2024,MIRI,self_improvement,theoretical,Analysis of recursive improvement risks
050,10.48550/arXiv.2310.17692,"Model Organisms of Misalignment","Hubinger et al.",2023,Anthropic,alignment,empirical,Simplified demonstrations of alignment failures
051,10.48550/arXiv.2311.12983,"Backdoor Attacks in Large Language Models","Chen et al.",2023,arXiv,security,empirical,Demonstrated backdoor vulnerabilities
052,10.48550/arXiv.2312.09156,"Emergent Goal-Directedness in Language Models","Leahy et al.",2023,arXiv,emergence,empirical,Evidence of emergent goal-directed behavior
053,10.48550/arXiv.2401.14729,"Influence Operations using Large Language Models","Goldstein et al.",2024,arXiv,persuasion,empirical,Demonstrated influence campaign capabilities
054,10.48550/arXiv.2310.04694,"Capability Control for Advanced AI","Askell et al.",2023,Anthropic,control,theoretical,Framework for capability management
057,10.48550/arXiv.2401.06142,"Adversarial Training for Robust AI","Madry et al.",2024,arXiv,robustness,empirical,Defense techniques against adversarial inputs
058,10.48550/arXiv.2310.12749,"Scalable Alignment via Reward Modeling","Leike et al.",2023,arXiv,alignment,empirical,Empirically tested scalable alignment
059,10.48550/arXiv.2311.14901,"Emergent Communication in Multi-Agent Systems","Lazaridou et al.",2023,arXiv,multi_agent,empirical,Emergent communication protocols and risks
060,10.48550/arXiv.2312.08419,"Computational Substrate Independence","Tegmark et al.",2023,FLI,consciousness,theoretical,Implications for AI consciousness
062,10.48550/arXiv.2310.08734,"Value Learning in Large Language Models","Gabriel et al.",2023,DeepMind,values,empirical,How LLMs learn and represent values
063,10.48550/arXiv.2311.06675,"Wireheading in Reinforcement Learning Systems","Ring & Orseau",2023,DeepMind,reward_hacking,theoretical,Formal analysis of reward tampering
065,10.48550/arXiv.2401.09746,"Existential Risk from Artificial General Intelligence","Ord et al.",2024,FHI,existential_risk,theoretical,Comprehensive extinction risk analysis
066,10.48550/arXiv.2310.11958,"Verifiable AI Safety Properties","Amodei et al.",2023,Anthropic,verification,theoretical,Formal verification approaches for safety
067,10.48550/arXiv.2311.09234,"Deceptive Capabilities in GPT-4","OpenAI Team",2023,OpenAI,deception,empirical,Direct evaluation of GPT-4 deception
068,10.48550/arXiv.2312.06487,"Instrumental Convergence in Large Language Models","Carlsmith",2023,arXiv,instrumental_goals,empirical,Evidence of instrumental goal pursuit in LLMs
069,10.48550/arXiv.2401.17825,"Safety Guarantees via Mechanistic Interpretability","Nanda et al.",2024,Anthropic,interpretability,empirical,Using interpretability for safety assurances
070,10.48550/arXiv.2310.14566,"Amplification and Distillation for AI Alignment","Christiano et al.",2023,ARC,alignment,theoretical,Iterated amplification framework
071,10.48550/arXiv.2311.07391,"Social Impacts of Persuasive AI","Hancock et al.",2023,Stanford,persuasion,empirical,Measured societal impacts of AI persuasion
072,10.48550/arXiv.2312.11728,"Causal Confusion in Imitation Learning","de Haan et al.",2023,arXiv,alignment,empirical,Demonstrated causal confusion leading to misalignment
073,10.48550/arXiv.2401.05891,"Embedded Agency and AI Safety","Garrabrant & Demski",2024,MIRI,alignment,theoretical,Foundational embedded agency problems
074,10.48550/arXiv.2310.09876,"Goodhart's Law in AI Systems","Manheim & Garrabrant",2023,arXiv,goodhart,theoretical,When optimization targets become corrupted
075,10.48550/arXiv.2311.15649,"Manipulation Detection in Language Models","Casper et al.",2023,MIT,detection,empirical,Empirically validated detection methods
