study_id,title,authors,year,journal,doi,research_category,key_contributions,relationship_to_iit4,theme
IIT088,"Physical basis","Koch C, Hepp K",2006,"Nature",,"Theoretical Foundations","Physical substrate; IIT grounding","Early IIT physics","Theoretical Foundations"
IIT089,"Information theory of consciousness","Tononi G",2004,"Trends in Neurosciences",,"Theoretical Foundations","Information theoretic basis","Foundation for IIT 4.0","Theoretical Foundations"
IIT090,"Axiomatic foundations","Albantakis L, Tononi G",2015,"Neuroscience of Consciousness",,"Mathematical Frameworks","Formal axioms; mathematical rigor","IIT 4.0 axiom refinement","Mathematical Frameworks"
IIT091,"Black-Box Models","Albantakis L",2020,"Entropy",,"Mathematical Frameworks","Computational models; IIT 3.0 details","Technical IIT methodology","Mathematical Frameworks"
IIT092,"Unfolding Argument","Doerig A, et al.",2021,"Consciousness and Cognition",,"Philosophical Critiques","Major critique; causal structure issues","Challenges IIT 4.0 core","Philosophical Critiques"
IIT094,"Brain connectivity propofol","Chennu S, et al.",2016,"PLOS Computational Biology",,"Empirical Evidence","Anesthesia connectivity; consciousness transitions","Supports IIT predictions","Empirical Evidence"
IIT095,"Recovery in vegetative","Rosanova M, et al.",2012,"Brain",,"Empirical Evidence","Consciousness recovery; effective connectivity","Clinical IIT application","Empirical Evidence"
IIT097,"Brain complexity measure","Tononi G, et al.",1994,"PNAS",,"Mathematical Frameworks","Early complexity metric; neural integration","Proto-IIT measure","Mathematical Frameworks"
IIT098,"Consciousness and Complexity","Tononi G, Edelman GM",1998,"Science",,"Theoretical Foundations","Complexity and consciousness link","Early IIT development","Theoretical Foundations"
IIT099,"Information Integration","Tononi G, Sporns O",2003,"Archives Italiennes de Biologie",,"Theoretical Foundations","Integration principles; brain function","Developing IIT concepts","Theoretical Foundations"
IIT100,"Value of information","Tononi G, Boly M",2008,"Nature Reviews Neuroscience",,"Theoretical Foundations","Information value; consciousness","IIT theoretical development","Theoretical Foundations"
