study_id,title,year,metacognitive_capability,methods_benchmarks,models_tested,key_findings,theoretical_framework,limitations
S013,"Self-Segregate Prompting",2024,"Knowledge conflict awareness","Self-Segregate prompting technique","GPT-3.5, GPT-4","Enables identification of knowledge conflicts before reasoning; 25% reduction in hallucination","Epistemic vigilance; metacognitive monitoring","Requires explicit prompting"
S009,"MASC: Metacognitive Self-Correction",2024,"Real-time error detection and correction","Unsupervised step-level monitoring","Multi-agent GPT-4 system","Achieves 85% error detection rate; 70% successful self-correction","Error monitoring theory; metacognitive control","Computationally expensive for real-time use"
S018,"Cognitive Workspace",2024,"Metacognitive memory management","Active memory planning and retrieval","Custom architecture with GPT-4","Outperforms RAG by 30% on complex tasks; shows human-like forgetting curves","Working memory theory; metacognitive strategies","Complex implementation"
S021,"Long-Term Memory Evaluation",2024,"Self-knowledge of memory limits","Long-context QA with confidence ratings","GPT-4, Claude with extended context","Models can recognize knowledge limits with 65% accuracy; better with explicit memory boundaries","Episodic memory; metacognitive knowledge","Limited to factual recall tasks"
S024,"SAGE-nano: Inverse Reasoning",2024,"Decision point identification","Attention-based reflection mechanism","Custom transformer architecture","Successfully identifies 75% of critical decision points; generates accurate reasoning explanations","Metacognitive monitoring; attention theory","Architecture-specific approach"
S014,"MetaMind: Social Reasoning",2024,"Theory of mind and social metacognition","Multi-agent framework with psychological tasks","GPT-4 agents","Shows emergent theory of mind; 60% match with human social reasoning patterns","Social metacognition; theory of mind","Limited ecological validity"
S016,"Cog-Rethinker",2024,"Hierarchical problem decomposition","Two-stage metacognitive framework","GPT-4 with RL fine-tuning","40% improvement on complex multi-step problems; effective subproblem identification","Hierarchical cognition; metacognitive planning","Training instability with RL"
S017,"Chain of Methodologies",2024,"Method selection awareness","Test-time computation scaling","GPT-4, Claude","Automatic method selection improves performance 20-30%; no fine-tuning needed","Metacognitive strategy selection","Limited to predefined method pool"
S019,"Path Drift Defense",2024,"Reasoning path monitoring","Role attribution and reflection cues","LLaMA-based reasoning models","Reduces reasoning drift by 50%; improves safety metrics","Metacognitive monitoring; error correction","May slow down inference"
S020,"Distillation Effects",2024,"Metacognitive transfer via distillation","Analysis of distilled model properties","Teacher: GPT-4, Students: smaller models","Distilled models show enhanced metacognitive markers; use more logical connectors","Knowledge distillation; metacognitive transfer","Unclear causal mechanism"
S023,"Comprehension Without Competence",2024,"Theoretical metacognitive requirements","Theoretical analysis and thought experiments","N/A - Theoretical paper","Identifies three key missing components: metacognitive control, principle lifting, grounded execution","Philosophical framework of understanding","Theoretical rather than empirical"
S025,"Pangu Embedded",2024,"Complexity-aware mode selection","Dual-system with automatic switching","Custom Pangu architecture","Achieves optimal compute-performance tradeoff; 2x efficiency gain","Dual-process theory; metacognitive resource allocation","Proprietary architecture"
S022,"Medical Domain Analysis",2024,"Domain-specific metacognitive reliability","Medical QA with uncertainty quantification","BioBERT, MedPaLM, GPT-4","Poor metacognitive reliability in medical domain; calibration error >0.4; high stakes = poor metacognition","Medical decision-making; uncertainty in diagnosis","Domain-specific evaluation only"
S015,"Think Reflect Create",2024,"Creative problem-solving metacognition","Three-stage framework: decompose, reflect, synthesize","GPT-4 with robotic applications","60% success rate on novel problems; reflection phase crucial for performance","Creative cognition; metacognitive regulation","Limited to structured problem domains"
S008,"MeLA Architecture",2024,"Performance feedback analysis","Iterative refinement with metacognitive evaluation","GPT-3.5, GPT-4","Systematic improvement over 5 iterations; 35% performance gain through metacognitive refinement","Feedback loop theory; metacognitive adaptation","Requires multiple iterations"
