study_id,title,authors,year,database,doi_arxiv,abstract_snippet
S021,"Spontaneous High-Order Generalization in Neural Theory-of-Mind Networks","Yiming Wang, Rui Wang",2025,arXiv,2509.25343,"neural networks could spontaneously generalize from first- to higher-order ToM without relying on advanced skills"
S022,"ProToM: Promoting Prosocial Behaviour via Theory of Mind-Informed Feedback","Matteo Bortoletto, Yichao Zhou, Lance Ying, Tianmin Shu, Andreas Bulling",2025,arXiv,2509.05091,"Theory of Mind-informed facilitator that promotes prosocial actions in multi-agent systems"
S023,"LLMs and their Limited Theory of Mind: Evaluating Mental State Annotations in Situated Dialogue","Katharine Kowalyshyn, Matthias Scheutz",2025,arXiv,2509.02292,"LLMs both as human-style annotators to track the team's shared mental models (SMMs)"
S024,"Validating Generative Agent-Based Models of Social Norm Enforcement","Logan Cross, Nick Haber, Daniel L. K. Yamins",2025,arXiv,2507.22049,"both persona-based individual differences and theory of mind capabilities are essential"
S025,"Towards Cognitive Synergy in LLM-Based Multi-Agent Systems","Adam Kostka, Jarosław A. Chudziak",2025,arXiv,2507.21969,"adaptive theory of mind (ToM) and systematic critical evaluation enable collaboration"
S026,"Integrating LLM in Agent-Based Social Simulation: Opportunities and Challenges","Patrick Taillandier, Jean Daniel Zucker, Arnaud Grignard, et al.",2025,arXiv,2507.19364,"ability of LLMs to replicate key aspects of human cognition, including Theory of Mind reasoning"
S027,"DPMT: Dual Process Multi-scale Theory of Mind Framework for Real-time Human-AI Collaboration","Xiyun Li, Yining Ding, Yuhua Jiang, et al.",2025,arXiv,2507.14088,"multi-scale theory of mind (ToM) module to facilitate robust human partner modeling"
S028,"A validity-guided workflow for robust large language model research in psychology","Zhicheng Lin",2025,arXiv,2507.04491,"theory-of-mind accuracy varies widely with trivial rephrasing demonstrating measurement issues"
S029,"Language-Informed Synthesis of Rational Agent Models for Grounded Theory-of-Mind Reasoning","Lance Ying, Ryan Truong, Katherine M. Collins, et al.",2025,arXiv,2506.16755,"multimodal social reasoning as a process of constructing structured but situation-specific agent representations"
S030,"MIST: Towards Multi-dimensional Implicit BiaS Evaluation of LLMs via Theory of Mind","Yanlin Li, Hao Liu, Huimin Liu, Kun Wang, Yinwei Wei, Yupeng Hu",2025,arXiv,2506.14161,"Theory of Mind (ToM) used for bias evaluation methodology"
